yorum,sentiment
dünyanın en güzel filmi hiç kuşkusuz ki titanik,p
dünyanın en güzel filmi titaniktir.,p
dünyanın en iyi aşk filmi 10 puan,p
Düşünmeden izliyebilirsiniz.,p
E sormazlar mı adama madem 10 defa izlerken iyiydi de şimdi mi kötü oldu 11 oscarı babasının hayrına vermedi bu akademi.,p
efektlerini çok beğendim.,p
Efet kesinlikle bir başyapıt.,p
efsaneler nasıl oluşur?,o
eğer bana hangi karakter olmak isterdiniz gibi bi soru sorulmuş olsa kesinlikle aziz derdim.,o
eğer bu bu filmin 2. gelirse almış olduğu 12 oscarın hiç bir anlamı kalmaz bence.,o
eğlenceli hoş vakit geçirilecek bir fim.,p
"Ekşin görsel efekt oyunculuk aşk felaket.,o
 Hepsi bir arada bu kadar başarılı hangi filmde varki.,p
Üstelik filmin sonu da belli.,o
İşte gerçek bir başyapıt.,p

Birbirinden iki farklı insan hayatın tuhaf bir tesadüfüyle bir gemide buluşurlar.,o
 Batmaz denen ünlü gemi Titanic de.,o
 O anda ikiside bu büyülü geminin bir çok insana mezar olabileceğini asla bilemezlerdi.,o
 Sınıf farkına aldırmadan birbirine aşık olan iki genç ve hüzün verici bir son.,o
 James Cameron un yönetmiş olduğu ve 90 larda bizim için bir başyapıt olmuş olan ve şimdide yerini başka bir filmin zor tutacağı değerde çok güzel bir film.,p
 İyi seyirler.,p

Titanic'e hayatımın filmi diyebilirim.,p
jack'tan geriye ne bir resim ne bir fotoğraf kalmış.,o
jack'ın bir resmini görmek çok isterdik.,o
nede olsa bir kahraman sayılır.,o
..size birşey soracağım.,o
sizce jack ile rose tanışmasaydı jack yaşayacakmıydı?,o

ne denebilirki ya.,o
süper bir film.,p
her yönüyle süper bir film.,p
trajedinin kralı,p

şansımmıdır nedir izlediğim ilk sinema filmi.",o
en begendigim filmlerden bir tanesi.,p
En kaliteli en mükemmel filimlerden biri.,p
en son 5 yıl önce izlediğimde ve hıçkıra hıçkıra ağlamıitım.,o
en son dejavuda izledim.,o
eskı olmasına ragmen bulup ızlemenızı tavsıye ederım,p
eşcinsellere pek sempati duymamakla beraber bu filmde sanki onları sevimli göstermeye çalışmışlar gibi geldi.,o
etkileyici konuşmalar ve hafızalardan silinmeyecek kareler var oyunculuklar harika,p
etkisinde kalıyor insan her izlediğinde.,p
etkisinden hiçbirşey kaybetmeyen ve uzun yıllar daha hafızalardan silinmeyecek tek film,p
Evet ben de ilk 2006 senesinde görmüştüm Titanic 2 nin fragmanını.,o
evet titanik 2 cıkacak.,o
fazla bir abartı yok.,o
Fazla sevmediğim filmlerden biri.,n
FB arkadaşıma katılıyorum.,p
Fena sonuçlar vermediğinden olacak ki her ülke zorda kaldıgında bunu dener:,o
Film  tam bir hayalkırıklığı  çok kötü bir film 3 puan,n
Film 1998 yılında çekildi ve vizyona girdi ben bu filmi sinemada izlemiştim aslına bakarsanız güzel bir konuya sahip ama görsel efekt yönünden sınıfta kalmış bir film makyajlar çok ama çok yapmacık fakat dediğim gibi senaryosu bir gerilim filmine göre hiç de başarısız sayılmaz saygılarımla .,p
film bence daha amatör oyunculara verilseydi belki daha beğenilrid.,o
film dünyada ki en güzel film.,p
film dünyanın en büyük havuzunda çekilmiş ancak okyanus sahneleri o kadar ustalıkla hazırlanmış ki size okyanusun yalnızlığını ve ürkütücü yönünü harika bir şekilde veriyor.,p
film farklı tarzı ile hemen kendini belli ediyor gerçekten güzel bir film.,p
film gayet güzel.,p
film gerçektende aşırı ilgi çekici val kilmer in oyunculuk becerisini yabana atmamak lazım elisabeth shue ile adeta birbirlerini tamamlamışlar bence bu iki oyuncuda özellikle val kilmer hakettiği yerde değil,p
Film gusel ama sonu ne kadarda sacma sapan bıttı bole gusel bı fılme yakısmadı sonu hemde ıkısı aynı anda bınebılırdı o tahtaya!:(,o 
film güzel ama  11 oscarli diğer bir film olan Ben Hur'un yanından bile geçemez.,p
film güzel yavaş yavaş artan tempo iyiydi daha iyi olabilirdi diyebiliriz ama idare eder güzel oyuncularla birlikte iyi gitti,p
Film hakkında yoruma gerek yok.,o
film i ilk izlediğimde film sonunda izlediğime pişman oldum çünkü hayatım da bir daha bir film den böyle zevk almıyacağımı biliyorum keşke izlemeseydim de ileride izlemekten müthiş zevk alacağım bir film olsaydı :),p 
Film iyice saçma sapan bi hale gircek gemi batmış artık titanicin daha nesini devam ettiriolar,n
film izlenmeye değer.,p
Film özellikle son 15 dakikasında adının hakkını veriyor.,p
film tek kelime süper hele ilk izlerken tekrar izleyince bile bıkılmayan cinsten hele silahşörlerin koştuğu askerlerin bi türlü vuramadıkları gözlerini kapettıkları yer HARİKA,p
film tek kelimeyle muhteşem  ama güzel olduğu kadar saçma yanları da var .,o
filmde en çok dikkatimi ceken kate winslet leanordo di caprio nun gözlerinin içine öyle bir bakıyorki sanki gerçekten aşık olmuşcasına ve gerçekten film sırasında huzunlenmemek elde değil  muhteşem film 9/10,p
Filmde gerçekte titanik kazasından sağ kurtulan kişiyi oynatmış olsalardı bence çok daha etkili olurdu.,o
filmde sanki bisiler eksik bole aceleye getirilmis felan gbi geldi bana.,n
Filmde şiddet unsurlarından hiçmi hiç kaçınılmamış.,p
Filmdeki bütün karekterler ya kötü ya defolu.,n
Filmdeki en başarılı isim Bily Bob Thornton.,p
filmdeki tek gercek geminin batmasıdır geri kalan ise kurgu.,o
filmi beğendim.,p
filmi beğenmedim değil aslında ama çok daha iileri var bu tarzda.,o
filmi bu akşam bir kez daha izledim sanki ilk izlemişim gibi heyecanlıydım.,p
Filmi bu kadar seviyoruz ama puanı 9.1 yazık çok yazık doğrusu bence 9.5 den aşağı olmamalı Yüzüklerin Efendisi gibi hiçbir zaman gerçek olmayacak şeyleri işleyen filme 9.6 veriliyor yaşanmış gerçek bir olayı işleyen bu filme 9.1 yazık gerçekten de.,p
filmi çok begendim kendini izleyiciye zorla seyrettirmiyor hikayesini çok güzel anlatıyor herkese özellikle cin karakteri filmin temel taşı bence,p
filmi çok beğendim ama şurası burası güzel diye anlatamayacağım çünkü başlı başına müthiş bi film çok seveceksiniz mutlaka izlenmeli.,p
filmi hiç beyenmedim.,n
Filmi izlediğim zamanki yaşımın da etkisiyle hayatımdaki en çok etkilendiğim ve günlerce hatta haftalarca etkisinden kurtulamadığım bir filmdi.,o
filmi izlerken dakikaların nsaıl geçtiğini fark etmiyeceksiniz.,p
Filmi izliyeli çok oldu ama hala aklımda muhteşem güzel bir film olmuş konu zengini etkileyici çok uzun sürmesine rağmen seyirciyi sıkmaması ve olayların birbirine çok güzel bağlandığı bir film olmuş saygılarımla,p
filmi sanki ilk defa izliyormusum gibi heyecenlandım müthis bir yapım harika muhtesem bir film.,p
filmin bana kalırsa konusu süper bide oyunuculuklarda iyi olunca ortaya ilginç eğlenceli vede bi o kadar seyirlik bi film çıkmış.,p
Filmin bir güzel yanı da adamın bu kadar ""cool"" gözükmesi ve kabiliyetlerini sergilemesiyle kalmıyor diğer ajan filmlerinde olduğu gibi,p
filmin bu kadar uzun olmasını saymazsak mükemmel bir filmdi.,p
Filmin havası gidişatı biraz farklı.,o
Filmin müziği güzel ancak yalnızca filmi göz önüne alacak olursak puanların şişirilmiş olduğunu görürüz.,o
Filmin özellikle ""Şans"" hakkındaki vurgusu muhteşem.,p
filmin sadece efektleri güzel ondan başka hiçbir şey yok.,o
Filmin sonunda ağlamayanlar kendine başka bir dünya arasın derim :D.,p
filmin türü komedi yazıodu fakat ben nedense hiç gülmedim.,n
Filmin yönetmeni Ford capolla olunca izlemek gerekir,p
filminn büyüsüü tartışılmaz bişeyyyy harikaaa.,p
Finalinde ağladığım tek yabancı sinema.,o
fragmanı cıktı bıle.,o
francis ford cappola'nın kendisine ait prodüksyon şirketinin bu filmden sonra battığını duymuştum.,n
garip...,o
gayet güzel bir film.,p
gayet güzel bir film.,p
gecen aksam trt de 6.defa her zaman ki gibi bıkmadan izledim!,p
gecen gün internette sorun cıkıp internete giremeyince bir nostalji yapayım dedim.,o
geçen gün televizyonda karşılaştım.,o
Gelde bu filme yorum yap şimdi.,o
gelmis gecmis en iyi film,p
gelmiş geçmiş en iyi film en iyi yapıt hiç bir film titanic gibi olmazzzz!,p
Gelmiş geçmiş en iyi film.,p
gelmiş geçmiş en mükemmel film bence,p
geniş alana yayılan bir senaryonun tek bir yerde sevgide birleşmesi hele birde öyle bir durumda.,p
Gercekten etkileyici bi yapit ama sadece bir kez izlenebilir.,p
Gercekten filmi izlerken o kadar sıkıldım ki anlatamam.,n
gerçek bir klasik elbette *10*,p
gerçek bir olayı anlatan bu film gerçektende çok güzel,p
gerçek bir trajediyi beyazperdeye yaşıdı.,o
gerçekten böyle gerçekçi bir aşk olamaz keşke dicaprioyla winslet gerçekte birlikte olsalar filmde öyle oynamışlarki oynarken yaşamışlar böyle bir film yok ve olmaz.,p
Gerçekten çok süper bi film.,p
Gerçekten harika  bir film .,p
gerçekten izlenmesi gerekir.,p
gerçekten müthiş bir film.,p
gerek muzikleriyle gerk oyunculuklarıyla süper olmus 10/10 haytmda gorduklermn arasında dram olark 1 numardadir,p
Gişede iş yapmadı ama bence sinema tarihininin en iyilerinden,p
gothika da böyle bişi değil miydi ya,o
gözyaşlarıma hakim olmadıım nadir fılmlerden bi tanesi.,p
grcktn muhtesm bi film ne kdr ısledıgımı htrlamıorum hr defasnda sıklmadn sonunu bılmıomus gby ıslıorum benı ck etkıledıı eer ızlemedysenz buyuk kayıp dıebılırım.,p
Guzel bi romantilk film.,p
güzel bi film olmuş biraz eski ama bula bilirseniz tavsiye ederim,p
Güzel bir film ama olması gerekenden biraz uzun gibi bu biraz sıkabiliyor ama kesinlikle izlenilmesi gerekn filmlerden,p
Güzel bir filmdi.,p
Güzel film MÜTHİŞ MÜTHİŞ MÜTHİŞ HALE HAYATIM BENİM  HARİKASIN,p
Güzel film.,p
güzel filmdi sonuda mantıklı bitti ben çok beğendim ama çok ta kötü deyil yani,o
Güzel gayet akıcı.,p
güzel ve özel bir film oldu benim için.,p
Güzel ve Şaşırtıcı bir film bence Bu adam harika bir oyuncu en güzel ve ya en kötü filmi bile izlenir sean penn benim faforim,p 
hadi beee aslında gzl ama konu fena degıldı ama su bı gercek fılm cok kotuydu,n
HAKKETTENDE ADAM SANDLER'IN SESİ GÜZEL .,p
hala bizi aptal yerine koymaya çalışıyorlar.,n
hala bu filmin üztüne film tanımadım!!!,p
hala heyecanla izlediğim unutulmaz bi film yerini herzaman koruycak bence onun kadar ses getiren bi film olmadı daha.,p
Hala izlerken gözlerim doluyor.,o
hala şu titanic 2 olayını yutanlar var uyanın artık!,o
halle'nin olması filmi daha da ii yapmış bence.,p
hanginiz dünyadaki en iyi filmleri konusurken bu filmi es geciyonuz ki.,p
Harika bir film .,p
harika bir film hep izliyorum yine olsa yine izlerim,p
Harika film film.,p
Hatta abartılmış.,n
hatta yorumumu bile okuyamayacaksınız bu filmi istanbul film festivalinde izlemiştim duygu yüklü eşsiz bir filmdi.,p
hayatım boyumca bir çok film izledim en heyecan verici film titanik izlerken hala ilk heyacın tadıyorum,p
hayatım boyunca 500 çuvarında film izledim içlerinden en iyisi bu ve tarihin en büyük baş yapıtı ve benim en sevdiğim film filmi izlerken çok duygulandığım tek film ve en harika film film uzundu ama dahada uzun olmasını isterdim çünkü okadar güzel her saniyesi adamı duygulandırıyor ve leonardo dicaprio kate winslet harika bir oyuncu başarıları çok büyük okadar büyük ki anlatamam ve filmi felaket yönünde çok güzel yapılmış hiç bir kamera hatası yok çok süper bir film ortaya konmuş bu filmi yapan herkese çok büyük saygı duyuyorum çünkü benim izlediğim en iyi film 10 üzerinden 10 hatta 1000 üzerinden 1000 de diyebilirim tarihin en büyük ödülüne sahip tarihin en büyük hasılatına sahip bir film izlemeyen varsa kesinlikle izlesin herkese iyi seyirler,p
hayatım boyunca izledıgım en güzel  en harika en kusursuz ve en ihtişamlı bir yapım hayatım boyunca tek bir filimde agladım odaa TİTANİC filimi nerdeyse hergün izliyorum ama yinede doyamıyorum keske zamanım olsa hic durmadan izlesem ,p
Hayatım da izlediğim en güzel flimlerden biri flim mi her izleyişimde sanki ilk defa izlemiş gibi duygulanıyorum.,p
hayatımda en çok izlediğim film kendisi.,p
hayatımda gördüğüm en güzel filmlerden bir tanesi adeta o zamanı yasıyorsunuz özellikle kıyafetler ve oyuncuların inanılmaz performansı beni çok etkiledi.,p
hayatımda ılk defa sınemaya bu fılme basladım bu fılm benım ılkım sınemada başyapıt dıyebılecıgim ve 10 numara verecegım fılm hemde hıc dusunmeden cok gusel ve harıka fılm cok onemlı bı yerı var benım hayatımda cok gusel,p 
hayatımda izledigim en mükemmel filmdir ve her izledigimde hiç izlememiş gibi heyecanlanırım muhteşem bi film,p
hayatımda izlediğim en iyi aşk filmi diyebiliriz filmi hiç kaçırmadan saniye saniye izledim ve çooook beendimm bu filmi geçebilecek bir film olamaz diye düşünüyorum en azından şu anlık,p
Hayatımda izlediğim en iyi filmlerinden biri ve hatta basında geliyo.,p
hayatımda izlediğim en kaliteli film.,p
hayatımda izlediğim ve beni etkileyen en muhteşem film.,p
hayatımda izLediqim en qüzeL fiLm.,p
hayatımın filmi diyebilirim filmi her izlediğimde duygulanıyorum.,p
Hayatımın filmi.,p
Hayatımın filmi.,p
hehe :)",p
Helal olsun adamlara.,p
Hele o finaldeki sahne  harikaaaaaaaaaa  heyacandan öldüm,p
hele o müzikler o aşk muhteşem herşeyiyle mükemmel.,p
hele o son sahnede ağlamayan insan varsa insani duygularında eksiklik var demektir zaten.,o
her anı sürprizlerle dolu konu ve mekan bakımından oldukça değişik ve aynı zamanda da sürükleyici bir film.,p
her film oscar alır.,o
her izlendiğinde seyirci kitlesini ekrana bağlayan harikanın ötesinde bir yapıt senaryosu ve güçlü kadrosuyla çekilmiş bu film tüm zamanların en büyük yaşanmış aşk filmlerinden,p
HER ROLDE AYRI BİR KARİZMA SERGİLİYOR MİCKEY ROURKE,p
her sahnesinde ayrı düşündürüp hüzünlendirip sevindiriyor insanı.,p
her seferindede yanımızda yeni insanlar vardı.,o
her şey güllük gülistanlık,p
Her ülkede var bu.,o
her zaman bir numarasın titanik,p
heralde büyük bi şans.,p
Herkes titaniği izlemek için sinema önünde uzun kuyruklar oluşturmuştu.,p
Herkese tavsiye ederim.,p
herkesin ortak fikri sanırım.,o
heyecan var ama efektlerinde pek iş yok.,o
hiç beğenmedim uyumak isteyenler oturup izlemeye çalışabilir,
hiç bi filmde bu kadar çok ağlamıyorum ben tek kelimeyle muhteşem bir film.,p
hiç eskimeyen bi klasik bence,p
hiçbir şey soylemeye gerek yok bence herkes izlemeli.,p
hikaye basit olmasına rağmen bnce halen en iyi aşk filmidir.,p
Hikayenin de akıcılığı göz önüne alarak ben bu yapıma 10 puan üzerinden 8 puan veriyorum.,p
hoş bi film ama azız isimlerini devamlı kullanması o kadar zeki bir insana yakışmadı bence,o 
Hoş bir filmdi sonu biraz duygusaldı,p
hoş ve sevimli bir film.,p
hoşş bi film ama amatorce yapılmış chook hata var mesela filmin konusu bence o kadar da etkileyici değil ama yinede bizim bütün kokru filimlerimizden daha kaliteli:,p
ımdbde yazdığına göre 1 milyar 850 milyon dolar civarı bi hasılat yapmış.,o
İlgi çekici bir konu  izleyin ve nasıl heba edildiğine tanık olun.,n
ilk defa bir aşk öyküsünde agladıgımı hatırlıyorum bir başyapıt,p
ilk geldiinde gitmiştim o zmnlar daha çocuktum hey gidi günler hey bee ne süper bi filmdi leonardo kate hepsi birer yetenek.,p
iLk izLedigimde cok begenmistim hatta gozyasi dokmustum arsiwLik bir caLisma.,p
İlk izlediğimde o kadar duygulandım ki.,p
ilk izlediğimde sanırım 14 yaşındaydım.,o
İmdb de ilk 250 ye girememesi tamamen filmi 10 kere ayıla bayıla izleyipte sonradan burun kıvıran insanlarda suc.,p
İmkansız bir aşk.,p
i-n-a-n-ı-l-m-a-z bir filmbaşyapıt kötü diyen arkadaşlar lütfen film izlemeyi bıraksın11 oscar 14 aday daha neolsun,p
inanılmaz keyif aldığım bir filmdi.,p
inanılmaz..,p
İnsan beynini balık beyni ile özdeşleştirip suni gündem yaratarak olayları unutturma taktiği.,o
İNSANI BİLMEDİĞİ BİR YERE GİTMEKTEN KORKUTAN BİR FİLM.,o
insanın film izleme beklentilerini karşılayan doyurucu bir film val kilmer'ın oyunculuğu da süper.,p
insanın içine işleyen ömrü boyunca unutamayacağı bir film.,p
İnsanlar Titanicin batışından çok Jack karakterinin ölümüne ağlamış.,o
işte bir başyapıt daha.,p
işte class filmdiye buna derim ben şöyle filmleri anca 1-2 yılda bi izliyozzzzz ne yapaylım süper ötesi tebrikler.,p
itici bir film değildi sonuçta.,o
iyi bir film ama çok abartılıyor.,p
iyi bir film jennifer'yeni yeni sinemada boy gösterdiği bi film,p
iyidir abartılmaması lazım gelir,p
İzkeyenin beğenmemesi çok zor.,p
izle izle insan hiç sıklımıyor ne diyebirimki gerçekten hLL olsun,p
izledigim en kötü dogal afet filmi,n
izlediğim en dokunaklı aşk filmlerinden biriydi.,p
İzlediğim en iyi Bond filmi,p
izlediğim en iyi film bence notu eksik hak ettiği not ise 10'dur.,p
İzlediğim en iyi film diyebilirim.,p
izlediğim en iyi filmlerden biri,p
İzlediğim en iyi üç romantik komediden biri.,p
izlediğiniz diğer filmlerin boş olduğunu gösteren film gelmiş geçmiş en iyi film rahatlıkla diyebilirim yüzlerce film izlememe rağmen üstelik izlediklermin çoğuda kült kategorisi olmasına rağmen.,p
İzlediğinizde kesinlikle sıkılmayacağınız bir eser.,p
izledikçe bıkılmayacak türden bi film herkesin arşivinde bulunmalı,p
İzlemeyen varsa bence ölmeden mutlaka izlesin.,p
izlemeyenler çok şey kaybeder.,p
izlemeyenlere tavsiye ediyorum.,p
izlenmeli,p
izlerken aklınızdan geçen tek fikir bu filmi kapatıp başka bi filme geçmek olacak!,n
izlerken bana ordaymış hissi veren nadir filmlerden.,p
İzlerken kesinlikle tedirgin olabileceğiniz bir film.,o
İzleyen herkesi etkileyecek bir film.,p
izleyen hiç kimsenin şu bölümünü beğenmedim diyemeyeceği izlenim boyunca her saniyesinde ayrı bir keyif veren harika ötesi bir film yada başyapıt demek daha doğru olur.,p
izleyince bir hoş oldum.,p
izleyip izleyebileceğim en güzel film izlemeyen warsa  (büyük ihtimal yoktur )  cok şey kaybeder,p
izleyip izleyebileceğin en iyi film.,p
jack dawson donmus bır sekılde bulunacak ve hayata dondurulcek.,o
james cameron gerçek bir usta gerek titanic olsun gerek terminatör olsun gerek avatar olsun hepsi birer tenoloji harikası gerçekten sinemada james cameron gibi ustalar ve senerastler oldukça sinema her zaman yükselir hiç bir zaman gerilemez sinemanın ustalara ihtiyacı var,p
james cameron ın bu derece şöhret sahibi olmasına yaraması dışında bir insanda tüm duyguları uyandıran içine hiç çıkmayacak şekilde işleyen ölene kadar unutamaycağınız ve belkide seyrederken en katımızın bile ağlayabileceği sahnelerle dolu bir başyapıt.,p
james cameronun en iyi yapımlarından biri filmin en begendim tarafı gercek askın en iyi anlatıldığı film.,p
James Cameron'un filmleri işte:,o
james jameronun en iyi eseri avatardan da iyi bence,p
janiston nasıl böyle saçma bir sahneli film de rol aldı anlayamadım., n
Jones Snipes ve Robert rollerini çok iyi oynamışlar.,p
Kaç ere olursa olsun bıkmadan ve artık ezberlediğim halde sonunu merakla izlediğim bir film :))))))),p
kaç kez izlediğimin sayısı yok diyebilirim tek söyleyeceğim çooookk güzel gerçekten.,p
kadro cok gusel ama leo fılmı bosmus sadce yakıkslı oldugu cıcın onu secmelrı hata olmus,o
karşımızda iyi bir film var james cameron iyi bir iş çıkarmış doğrusu ayrıcafilmde çok başarılı bir sanat yönetimi var kate winslet ve dicaprio döktürmüşler iyi bir film zaten bu yorum boşuna bu filmi izlemeyen kalmamıştır ki film vizyona girdiğinden sadece 1 yıl sonra 2 milyar dolara yaklaşan bir gişe hasılatı yapmış 11 dalda oscar almış ve yüzüklerin efendisinden sonra vcd ve dvd satışlarında en yüksek sıraları tutmuştur ama hala izlemeyen varsa öneririm,p
Kate Winslet harika.,p
Kaybedenler veya u dönüşü bence Oliver Stone un çoğu filminde anlatmak isfhytediği Amerikan toplumunun ahlakının çöküşünü gösteren üst düzey bir film.,o
kelimeler yetersiz kalır bu film için.,p
kelimlerle anlatılmaz bu film,p
Kesin izleyin.,p
kesinlikle filmin en orjinal cd sini alın bu filme neler verimez ki.,o
Kesinlikle harika bir film!,p
kesinlikle herkesin izlemesi gereken bi film.,p
kesinlikle izlemeniz gereken bir film.,p
kesinlikle izleyin,p
KESİNLİKLE KENDİSİNİN EN İYİ FİLMLERİNDEN BİR TANESİ.,p
Kesinlikle komedi filmi bence.,p
kesinlikle muhteşem bu filmi beğenmeyen yoktur heralde.,p
kesinlikle mükemmel bir film.,p
kevin costner kendisini aşmış,o
Kevin Costner ne diyebilirm bu adam için takdir ediyorum cunku o kadar kötü film yapmasına ragmen hala pes etmıyor!,n
keyifle zaman geçirebileceginiz güzel bir film.,p
kısacası ben bir titanik fanatiğiyim.,p
kimse yazmamış ben yazıyım:),o
kitabına en yakışacak film bana göre.,p
kitaptaki ortamı yansıtamamışlar.,n
Klişelerle bürünmüş bir felake filmi.,n
Komedıye gelince sadece Woody Harrelsonun sahneleri komik.,p
Konu çok iyi incelenmiş.,p
Konu insanlara bir mesaj niteliğinde.,o
Konu olarak akla ziyan bir film gibi görünsede görsel efektlerle oldukça etkileyici.,o
konusu digerlerine gore daha yaratıcı brosnanın bu rolde sov yaptıgı enfes bir film.,p
korku olarak geçsede ben bunu tam olarak korku kategorisinde değerlendirmek istemiyorum.,o
